Source,Economy,Measure,Unit,Transport Type,Medium,Vehicle Type,Drive,Value,Dataset,Date,Frequency
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2004-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,14523138.0,ITEM,2004-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,29926892.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,778000000.0,ITEM,2004-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,20000000.0,ITEM,2004-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,4878907.0,ITEM,2005-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2900727.0,ITEM,2005-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,3813942.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,458000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,14000000.0,ITEM,2005-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,18847697.0,ITEM,2005-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2133476.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,5000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,178000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,26000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2005-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,15216460.0,ITEM,2005-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,30058894.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,783000000.0,ITEM,2005-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,21000000.0,ITEM,2005-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,5180828.0,ITEM,2006-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3062544.0,ITEM,2006-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,3990469.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,456000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,15000000.0,ITEM,2006-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,20047681.0,ITEM,2006-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2676774.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,188000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,23000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2006-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,15964896.0,ITEM,2006-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,31319620.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,461000000.0,ITEM,2006-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,22000000.0,ITEM,2006-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,5790332.0,ITEM,2007-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3163367.0,ITEM,2007-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,4235611.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,466000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,16000000.0,ITEM,2007-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,20821901.0,ITEM,2007-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,3062442.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,207000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,23000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2007-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,17543923.0,ITEM,2007-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,32567524.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,459000000.0,ITEM,2007-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,24000000.0,ITEM,2007-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,6201870.0,ITEM,2008-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3205834.0,ITEM,2008-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,4447910.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,480000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,17000000.0,ITEM,2008-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,20705861.0,ITEM,2008-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,3316087.0,ITEM,2008-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2486233.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,226000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,21000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2008-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,17926748.0,ITEM,2008-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,32006944.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,458000000.0,ITEM,2008-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,25000000.0,ITEM,2008-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,5766041.0,ITEM,2009-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,2952584.0,ITEM,2009-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,4056300.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,591000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2009-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,18015533.0,ITEM,2009-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,2884487.0,ITEM,2009-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,1786509.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,233000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,18000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2009-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,16341378.0,ITEM,2009-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,28467280.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,631000000.0,ITEM,2009-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,26000000.0,ITEM,2009-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,6507984.0,ITEM,2010-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3235761.0,ITEM,2010-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,4670200.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,596000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,18000000.0,ITEM,2010-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,20533734.0,ITEM,2010-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,3691374.0,ITEM,2010-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,2454838.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,241000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,18000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2010-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,19368960.0,ITEM,2010-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,31507445.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,614000000.0,ITEM,2010-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,26000000.0,ITEM,2010-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,6709602.0,ITEM,2011-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3315391.0,ITEM,2011-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,4734600.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,862000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,18000000.0,ITEM,2011-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21135704.0,ITEM,2011-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,4223631.0,ITEM,2011-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3028264.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,255000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,17000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2011-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,21610502.0,ITEM,2011-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,32745592.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,402000000.0,ITEM,2011-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2011-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,6936142.0,ITEM,2012-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3559595.0,ITEM,2012-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,5109500.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,594000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,19000000.0,ITEM,2012-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21225537.0,ITEM,2012-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,4878097.0,ITEM,2012-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2414656.0,ITEM,2012-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3371039.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,7000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,271000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2012-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,22550275.0,ITEM,2012-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,33236967.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,2000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,354000000.0,ITEM,2012-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2012-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,6994361.0,ITEM,2013-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3686321.0,ITEM,2013-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,5225900.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,605000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,19000000.0,ITEM,2013-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21490748.0,ITEM,2013-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,4875281.0,ITEM,2013-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2503737.0,ITEM,2013-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3501985.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,289000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,17000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2013-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,23469251.0,ITEM,2013-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,34484687.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,358000000.0,ITEM,2013-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,27000000.0,ITEM,2013-12-31,Yearly
International Transport Forum,01_AUS,Freight (TEU),Number,freight,ship,Container,All,7519534.0,ITEM,2014-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,rail,Container,All,3897973.0,ITEM,2014-12-31,Yearly
International Transport Forum,03_CDA,Freight (TEU),Number,freight,ship,Container,All,5429700.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,611000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,03_CDA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,19000000.0,ITEM,2014-12-31,Yearly
International Transport Forum,08_JPN,Freight (TEU),Number,freight,ship,Container,All,21717653.0,ITEM,2014-12-31,Yearly
International Transport Forum,11_MEX,Freight (TEU),Number,freight,ship,Container,All,5058635.0,ITEM,2014-12-31,Yearly
International Transport Forum,12_NZ,Freight (TEU),Number,freight,ship,Container,All,2672030.0,ITEM,2014-12-31,Yearly
International Transport Forum,16_RUS,Freight (TEU),Number,freight,ship,Container,All,3617159.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,6000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,299000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,0.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,16_RUS,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,rail,All,0.0,ITEM,2014-12-31,Yearly
International Transport Forum,09_ROK,Freight (TEU),Number,freight,ship,Container,All,24798210.0,ITEM,2014-12-31,Yearly
International Transport Forum,20_USA,Freight (TEU),Number,freight,ship,Container,All,35867974.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,bus,All,3000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,ldv,All,357000000.0,ITEM,2014-12-31,Yearly
United Nations Economic Commission for Europe,20_USA,Vehicles per 1000 inhabitants,Vehicles per 1000 inhabitants,passenger,road,2W,All,26000000.0,ITEM,2014-12-31,Yearly
